Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","F0875","beef and veal preparations nes","2022","2022","1000 USD","6","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","F0875","beef and veal preparations nes","2023","2023","t","0.1","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","F0875","beef and veal preparations nes","2023","2023","1000 USD","1","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","22241.01","Butter of cow milk","2015","2015","t","106.72","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","22241.01","Butter of cow milk","2015","2015","1000 USD","705","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","22241.01","Butter of cow milk","2016","2016","t","213.43","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","22241.01","Butter of cow milk","2016","2016","1000 USD","711","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","22241.01","Butter of cow milk","2018","2018","t","277.01","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","22241.01","Butter of cow milk","2018","2018","1000 USD","1295","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","22241.01","Butter of cow milk","2019","2019","t","1.68","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","22241.01","Butter of cow milk","2019","2019","1000 USD","4","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","22241.01","Butter of cow milk","2020","2020","t","72.14","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","22241.01","Butter of cow milk","2020","2020","1000 USD","561","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","22241.01","Butter of cow milk","2020","2020","t","0.02","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","22241.01","Butter of cow milk","2020","2020","1000 USD","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","22241.01","Butter of cow milk","2021","2021","t","59.06","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","22241.01","Butter of cow milk","2021","2021","1000 USD","436","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","22241.01","Butter of cow milk","2022","2022","t","16.09","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","22241.01","Butter of cow milk","2022","2022","1000 USD","135","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","22241.01","Butter of cow milk","2023","2023","t","7.67","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","22241.01","Butter of cow milk","2023","2023","1000 USD","71","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","21429.07","Coconuts, desiccated","2015","2015","t","0.73","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","21429.07","Coconuts, desiccated","2015","2015","1000 USD","3","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","21429.07","Coconuts, desiccated","2016","2016","t","33.94","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","21429.07","Coconuts, desiccated","2016","2016","1000 USD","70","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","21429.07","Coconuts, desiccated","2018","2018","t","26.66","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","21429.07","Coconuts, desiccated","2018","2018","1000 USD","50","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","21429.07","Coconuts, desiccated","2018","2018","t","0.51","X","Figure from international organizations","Estimated data using trading partners database"
